chapter_code,chapter_number,title,source_pdf,chapter_folder
HI6-001,1,"मातृभूमि",fhml101.pdf,101_MATRIBHUMI/
HI6-002,2,"गोल",fhml102.pdf,102_GOL/
HI6-003,3,"पहली बूँद",fhml103.pdf,103_PEHLI_BOOND/
HI6-004,4,"हार की जीत",fhml104.pdf,104_HAAR_KI_JEET/
HI6-005,5,"रहीम के दोहे*",fhml105.pdf,105_RAHIM_KE_DOHE/
HI6-006,6,"मेरी माँ",fhml106.pdf,106_MERI_MAA/
HI6-007,7,"जलाते चलो",fhml107.pdf,107_JALATE_CHALO/
HI6-008,8,"सत्रिया और बिहू नृत्य",fhml108.pdf,108_SATTRIYA_AUR_BIHU_NRITYA/
HI6-009,9,"मैया मैं नहिं माखन खायो",fhml109.pdf,109_MAIYA_MAIN_NAHIN_MAKHAN_KHAYO/
HI6-010,10,"परीक्षा",fhml110.pdf,110_PARIKSHA/
HI6-011,11,"चेतक की वीरता",fhml111.pdf,111_CHETAK_KI_VEERTA/
HI6-012,12,"हिंद महासागर में",fhml112.pdf,112_HIND_MAHASAGAR_MEIN/
HI6-013,13,"पेड़ की बात",fhml113.pdf,113_PED_KI_BAAT/
